TP_FAIXA_ETARIA,SEXO,TP_COR_RACA,TP_ESCOLA,MUNIC_ESCOLA,SG_UF_ESC,NO_MUNICIPIO_PROVA,UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NOTA_REDACAO,nota_final
18 anos,F,Pardo,Pública,São Caetano do Sul,SP,Santo André,SP,1,1,1,1,435.5,595.2,507.2,485.4,620.0,528.6600000000001
Entre 51 e 55 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,610.4,765.2,683.1,734.5,620.0,682.64
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,557.1,672.7,588.4,681.5,920.0,683.9399999999999
Entre 36 e 40 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,364.3,459.8,562.1,438.6,540.0,472.96000000000004
18 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,491.6,500.1,527.1,542.1,520.0,516.1800000000001
17 anos,F,Preto,Pública,Santo André,SP,Santo André,SP,1,1,1,1,538.5,548.6,544.3,670.4,800.0,620.36
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,439.2,392.0,363.7,403.6,600.0,439.7
17 anos,F,Branco,Privada,São Paulo,SP,Santo André,SP,1,1,1,1,515.6,580.2,530.4,559.4,560.0,549.1200000000001
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,467.2,561.1,527.4,658.2,800.0,602.78
17 anos,M,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,661.6,639.1,607.2,758.7,940.0,721.32
17 anos,F,Pardo,Pública,,,Santo André,SP,1,1,1,1,441.8,508.5,473.7,475.1,680.0,515.82
18 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,555.1,495.5,536.5,574.7,480.0,528.36
17 anos,F,Preto,Pública,Santo André,SP,Santo André,SP,1,1,1,1,458.4,536.0,537.0,430.1,720.0,536.3
17 anos,F,Branco,Pública,Mauá,SP,Santo André,SP,1,1,1,1,566.9,552.8,444.0,628.9,620.0,562.52
23 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,604.6,713.0,620.8,658.7,800.0,679.4200000000001
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,572.5,627.8,527.0,766.9,780.0,654.8399999999999
17 anos,F,Preto,Pública,Santo André,SP,Santo André,SP,1,1,1,1,401.8,437.8,496.2,490.7,440.0,453.3
18 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,722.5,645.9,576.1,887.0,940.0,754.3
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,518.5,606.4,578.1,661.8,800.0,632.96
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,520.4,604.5,624.2,597.2,920.0,653.26
Entre 36 e 40 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,369.5,408.3,336.0,409.3,280.0,360.62
17 anos,F,Pardo,Pública,,,Santo André,SP,1,1,1,1,436.6,533.7,490.0,536.5,700.0,539.36
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,653.3,632.2,648.3,732.8,880.0,709.3199999999999
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,375.7,416.6,458.2,437.5,360.0,409.6
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,486.4,522.0,546.5,547.0,540.0,528.38
18 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,519.3,580.7,543.8,544.8,760.0,589.72
18 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,539.7,460.3,558.4,582.3,840.0,596.1400000000001
20 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,576.3,592.9,601.8,476.9,780.0,605.5799999999999
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,481.3,596.9,507.7,613.4,720.0,583.86
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,440.9,512.6,525.1,471.7,640.0,518.06
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,580.0,609.0,586.6,656.9,860.0,658.5
17 anos,M,Branco,Pública,,,Santo André,SP,1,1,1,1,528.3,413.3,509.2,530.3,780.0,552.22
25 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,411.4,501.9,500.1,412.8,740.0,513.24
17 anos,F,Pardo,Pública,,,Santo André,SP,1,1,1,1,454.2,520.9,486.3,490.4,400.0,470.35999999999996
17 anos,F,Branco,Pública,Mauá,SP,Santo André,SP,1,1,1,1,472.0,530.7,517.0,362.2,560.0,488.38
24 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,513.5,479.5,417.5,628.7,940.0,595.8399999999999
17 anos,M,Branco,Pública,,,Santo André,SP,1,1,1,1,572.1,633.7,595.2,570.4,860.0,646.28
22 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,489.0,524.8,574.4,580.7,840.0,601.78
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,480.8,630.2,473.6,496.2,580.0,532.1600000000001
